threshold,total_games,total_bets,total_wagered,net_profit,roi_percent
0.0,150,150,1500.0,-429.45935041044504,-28.630623360696333
0.02,150,137,1370.0,-405.6864741043201,-29.612151394475923
0.05,150,119,1190.0,-428.39301111277905,-35.99941269855286
0.08,150,105,1050.0,-357.8246164866062,-34.07853490348631
0.1,150,91,910.0,-297.8246164866062,-32.72797983369299
0.15,150,65,650.0,-223.36900753558442,-34.364462697782216
