GAME_DATE,home_TEAM_ABBREVIATION,away_TEAM_ABBREVIATION,kalshi_market_ticker,kalshi_event_ticker,kalshi_market_title,kalshi_market_subtitle,kalshi_market_status,kalshi_market_source,kalshi_yes_price,kalshi_yes_price_pregame,kalshi_pregame_sampled_ts,kalshi_no_price,kalshi_last_price,kalshi_price_home_win,kalshi_yes_team,kalshi_volume,kalshi_close_time,kalshi_settlement_ts
2026-02-23,DET,SAS,KXNBAGAME-26FEB23SASDET-SAS,KXNBAGAME-26FEB23SASDET,San Antonio at Detroit Winner?,,finalized,historical,0.995,,,0.005,0.99,0.005,SAS,8494383.0,2026-02-24T03:12:23Z,2026-02-24T03:13:57.066643Z
2026-02-09,CHA,DET,KXNBAGAME-26FEB09DETCHA-DET,KXNBAGAME-26FEB09DETCHA,Detroit at Charlotte Winner?,,finalized,historical,0.995,,,0.005,0.99,0.005,DET,8346222.0,2026-02-10T02:53:51Z,2026-02-10T02:55:21.50224Z
2026-03-04,NYK,OKC,KXNBAGAME-26MAR04OKCNYK-NYK,KXNBAGAME-26MAR04OKCNYK,Oklahoma City at New York Winner?,,finalized,historical,0.005,0.385,2026-03-05T00:14:00+00:00,0.995,0.01,0.385,NYK,7752831.0,2026-03-05T03:04:09Z,2026-03-05T03:05:47.308103Z
2026-03-05,HOU,GSW,KXNBAGAME-26MAR05GSWHOU-HOU,KXNBAGAME-26MAR05GSWHOU,Golden State at Houston Winner?,,finalized,live,0.005,0.795,2026-03-06T00:42:00+00:00,0.995,0.01,0.795,HOU,7539471.0,2026-03-06T03:32:05Z,2026-03-06T03:33:39.101105Z
2026-02-25,TOR,SAS,KXNBAGAME-26FEB25SASTOR-SAS,KXNBAGAME-26FEB25SASTOR,San Antonio at Toronto Winner?,,finalized,historical,0.995,,,0.005,0.99,0.005,SAS,7486817.0,2026-02-26T03:18:30Z,2026-02-26T03:20:05.724854Z
2026-03-08,CLE,BOS,KXNBAGAME-26MAR08BOSCLE-BOS,KXNBAGAME-26MAR08BOSCLE,Boston at Cleveland Winner?,,finalized,live,0.995,0.54,2026-03-08T17:31:00+00:00,0.005,0.99,0.46,BOS,7224176.0,2026-03-08T20:21:26Z,2026-03-08T20:22:58.959576Z
2026-03-12,SAS,DEN,KXNBAGAME-26MAR12DENSAS-DEN,KXNBAGAME-26MAR12DENSAS,Denver at San Antonio Winner?,,finalized,live,0.995,0.425,2026-03-13T00:58:00+00:00,0.005,0.99,0.575,DEN,6753224.0,2026-03-13T03:48:00Z,2026-03-13T03:49:39.050031Z
2026-03-22,BOS,MIN,KXNBAGAME-26MAR22MINBOS-BOS,KXNBAGAME-26MAR22MINBOS,Minnesota at Boston Winner?,,finalized,live,0.005,0.795,2026-03-22T23:50:00+00:00,0.995,0.01,0.795,BOS,6694923.0,2026-03-23T02:40:52Z,2026-03-23T02:42:31.163918Z
2026-02-23,MEM,SAC,KXNBAGAME-26FEB23SACMEM-MEM,KXNBAGAME-26FEB23SACMEM,Sacramento at Memphis Winner?,,finalized,historical,0.005,,,0.995,0.01,0.005,MEM,6643155.0,2026-02-24T03:42:29Z,2026-02-24T03:44:06.756253Z
2026-02-26,ORL,HOU,KXNBAGAME-26FEB26HOUORL-HOU,KXNBAGAME-26FEB26HOUORL,Houston at Orlando Winner?,,finalized,historical,0.995,0.575,2026-02-27T00:30:00+00:00,0.005,0.99,0.425,HOU,6360375.0,2026-02-27T03:20:23Z,2026-02-27T03:21:57.852159Z
2026-03-01,ORL,DET,KXNBAGAME-26MAR01DETORL-DET,KXNBAGAME-26MAR01DETORL,Detroit at Orlando Winner?,,finalized,historical,0.995,0.665,2026-03-01T22:47:00+00:00,0.005,0.99,0.335,DET,6347404.0,2026-03-02T01:37:52Z,2026-03-02T01:39:27.127703Z
2026-02-09,DEN,CLE,KXNBAGAME-26FEB09CLEDEN-CLE,KXNBAGAME-26FEB09CLEDEN,Cleveland at Denver Winner?,,finalized,historical,0.995,,,0.005,0.99,0.005,CLE,6298295.0,2026-02-10T04:50:31Z,2026-02-10T04:52:03.940717Z
2026-02-22,CHI,NYK,KXNBAGAME-26FEB22NYKCHI-NYK,KXNBAGAME-26FEB22NYKCHI,New York at Chicago Winner?,,finalized,historical,0.995,,,0.005,0.99,0.005,NYK,5994317.0,2026-02-23T03:50:28Z,2026-02-23T03:52:06.745773Z
2026-03-02,MIL,BOS,KXNBAGAME-26MAR02BOSMIL-BOS,KXNBAGAME-26MAR02BOSMIL,Boston at Milwaukee Winner?,,finalized,historical,0.995,0.565,2026-03-03T00:00:00+00:00,0.005,0.99,0.435,BOS,5582598.0,2026-03-03T02:50:38Z,2026-03-03T02:52:17.24349Z
2026-03-01,DEN,MIN,KXNBAGAME-26MAR01MINDEN-DEN,KXNBAGAME-26MAR01MINDEN,Minnesota at Denver Winner?,,finalized,historical,0.005,0.535,2026-03-01T20:51:00+00:00,0.995,0.01,0.535,DEN,5480171.0,2026-03-01T23:41:13Z,2026-03-01T23:42:47.112074Z
2026-02-22,MIN,PHI,KXNBAGAME-26FEB22PHIMIN-PHI,KXNBAGAME-26FEB22PHIMIN,Philadelphia at Minnesota Winner?,,finalized,historical,0.995,,,0.005,0.99,0.005,PHI,5124727.0,2026-02-23T02:36:15Z,2026-02-23T02:37:47.594215Z
2026-03-04,BOS,CHA,KXNBAGAME-26MAR04CHABOS-BOS,KXNBAGAME-26MAR04CHABOS,Charlotte at Boston Winner?,,finalized,historical,0.005,0.695,2026-03-05T00:16:00+00:00,0.995,0.01,0.695,BOS,4986637.0,2026-03-05T03:06:03Z,2026-03-05T03:07:37.213219Z
2026-03-11,UTA,NYK,KXNBAGAME-26MAR11NYKUTA-UTA,KXNBAGAME-26MAR11NYKUTA,New York at Utah Winner?,,finalized,live,0.005,0.115,2026-03-12T00:50:00+00:00,0.995,0.01,0.115,UTA,4949955.0,2026-03-12T03:40:46Z,2026-03-12T03:42:17.770874Z
2026-02-20,CHA,CLE,KXNBAGAME-26FEB20CLECHA-CLE,KXNBAGAME-26FEB20CLECHA,Cleveland at Charlotte Winner?,,finalized,historical,0.995,,,0.005,0.99,0.005,CLE,4913614.0,2026-02-21T02:44:50Z,2026-02-21T02:46:26.84213Z
