GAME_DATE,home_TEAM_ABBREVIATION,away_TEAM_ABBREVIATION,predicted_home_win,actual_outcome,model_prob_home,kalshi_prob_home,model_prob_away,kalshi_prob_away,home_edge,away_edge,bet_placed_on,profit_loss
2026-02-21,SAS,SAC,1,1,0.8722698023296795,0.995,0.12773019767032046,0.0050000000000000044,-0.12273019767032045,0.12273019767032045,Away,-10.0
2026-02-21,NOP,PHI,1,1,0.5959124615777069,0.995,0.40408753842229306,0.0050000000000000044,-0.39908753842229305,0.39908753842229305,Away,-10.0
2026-02-22,WAS,CHA,0,0,0.3643597061554407,0.005,0.6356402938445593,0.995,0.3593597061554407,-0.35935970615544066,Home,-10.0
2026-02-22,ATL,BKN,1,1,0.6349675286820957,0.995,0.3650324713179043,0.0050000000000000044,-0.3600324713179043,0.3600324713179043,Away,-10.0
2026-02-22,MIL,TOR,1,0,0.5193961325218974,0.005,0.4806038674781026,0.995,0.5143961325218974,-0.5143961325218974,Home,-10.0
2026-02-22,CHI,NYK,0,0,0.2454456834067473,0.005,0.7545543165932527,0.995,0.2404456834067473,-0.24044568340674732,Home,-10.0
2026-02-22,OKC,CLE,0,1,0.428035777562367,0.995,0.571964222437633,0.0050000000000000044,-0.566964222437633,0.566964222437633,Away,-10.0
2026-02-22,GSW,DEN,0,1,0.412410134079375,0.995,0.587589865920625,0.0050000000000000044,-0.582589865920625,0.582589865920625,Away,-10.0
2026-02-22,IND,DAL,1,0,0.7634218580880636,0.005,0.23657814191193638,0.995,0.7584218580880636,-0.7584218580880636,Home,-10.0
2026-02-22,PHX,POR,1,0,0.7391589915126047,0.005,0.26084100848739533,0.995,0.7341589915126047,-0.7341589915126047,Home,-10.0
2026-02-22,MIN,PHI,1,0,0.7705533365197702,0.005,0.2294466634802298,0.995,0.7655533365197702,-0.7655533365197702,Home,-10.0
2026-02-23,DET,SAS,0,0,0.4974465132686474,0.005,0.5025534867313526,0.995,0.4924465132686474,-0.4924465132686474,Home,-10.0
2026-02-23,MEM,SAC,1,0,0.7990891420800065,0.005,0.20091085791999352,0.995,0.7940891420800065,-0.7940891420800065,Home,-10.0
2026-02-24,ATL,WAS,1,1,0.6823909416072244,0.995,0.31760905839277564,0.0050000000000000044,-0.31260905839277564,0.31260905839277564,Away,-10.0
2026-02-24,NOP,GSW,1,1,0.5128660225003188,0.995,0.48713397749968124,0.0050000000000000044,-0.48213397749968123,0.48213397749968123,Away,-10.0
2026-02-24,CLE,NYK,1,1,0.5287705461849904,0.995,0.4712294538150096,0.0050000000000000044,-0.4662294538150096,0.4662294538150096,Away,-10.0
2026-02-24,IND,PHI,1,0,0.5688101404753702,0.005,0.43118985952462985,0.995,0.5638101404753701,-0.5638101404753701,Home,-10.0
2026-02-24,BKN,DAL,1,0,0.7401945549530027,0.005,0.2598054450469973,0.995,0.7351945549530027,-0.7351945549530027,Home,-10.0
2026-02-24,MIL,MIA,0,1,0.4732191264043415,0.995,0.5267808735956585,0.0050000000000000044,-0.5217808735956585,0.5217808735956585,Away,-10.0
2026-02-24,PHX,BOS,0,0,0.3417079446190253,0.005,0.6582920553809747,0.995,0.3367079446190253,-0.3367079446190253,Home,-10.0
2026-02-24,TOR,OKC,0,0,0.4781308773460179,0.005,0.5218691226539821,0.995,0.4731308773460179,-0.4731308773460179,Home,-10.0
2026-02-24,CHI,CHA,0,0,0.3312125841120329,0.005,0.6687874158879671,0.995,0.3262125841120329,-0.3262125841120329,Home,-10.0
2026-02-25,HOU,SAC,1,1,0.887021708743195,0.995,0.11297829125680503,0.0050000000000000044,-0.10797829125680503,0.10797829125680503,Away,-10.0
2026-02-25,TOR,SAS,0,0,0.3667392346660717,0.005,0.6332607653339283,0.995,0.3617392346660717,-0.3617392346660717,Home,-10.0
2026-02-25,MIL,CLE,0,1,0.3576324624403353,0.995,0.6423675375596647,0.0050000000000000044,-0.6373675375596647,0.6373675375596647,Away,-10.0
2026-02-25,DET,OKC,1,1,0.5190201375016246,0.995,0.48097986249837543,0.0050000000000000044,-0.47597986249837543,0.47597986249837543,Away,-10.0
2026-02-25,MEM,GSW,1,0,0.5340242384511474,0.005,0.46597576154885256,0.995,0.5290242384511474,-0.5290242384511474,Home,-10.0
2026-02-26,UTA,NOP,0,0,0.4965727913608728,0.32,0.5034272086391272,0.6799999999999999,0.17657279136087278,-0.17657279136087278,Home,-10.0
2026-02-26,BKN,SAS,0,0,0.2456524595236632,0.175,0.7543475404763368,0.825,0.07065245952366322,-0.07065245952366317,Home,-10.0
2026-02-26,IND,CHA,0,0,0.2486411419701973,0.145,0.7513588580298027,0.855,0.1036411419701973,-0.10364114197019725,Home,-10.0
2026-02-26,CHI,POR,1,0,0.5441784034832909,0.405,0.45582159651670906,0.595,0.1391784034832909,-0.1391784034832909,Home,-10.0
2026-02-26,DAL,SAC,1,0,0.7109668597943072,0.745,0.2890331402056928,0.255,-0.03403314020569281,0.03403314020569281,,0.0
2026-02-26,PHI,MIA,1,1,0.5154174880227564,0.555,0.48458251197724356,0.44499999999999995,-0.039582511977243606,0.039582511977243606,,0.0
2026-02-26,ATL,WAS,1,1,0.7228923476344343,0.805,0.27710765236556567,0.19499999999999995,-0.08210765236556572,0.08210765236556572,Away,-10.0
2026-02-26,ORL,HOU,0,0,0.4837448115077378,0.425,0.5162551884922622,0.575,0.058744811507737804,-0.058744811507737804,Home,-10.0
2026-02-27,MIL,NYK,1,0,0.5279139237053457,0.275,0.47208607629465427,0.725,0.2529139237053457,-0.2529139237053457,Home,-10.0
2026-02-27,DET,CLE,0,1,0.4600487442056487,0.585,0.5399512557943513,0.41500000000000004,-0.12495125579435129,0.12495125579435129,Away,-10.0
2026-02-27,BOS,BKN,1,1,0.8558612851834729,0.905,0.14413871481652707,0.09499999999999997,-0.049138714816527096,0.049138714816527096,,0.0
