strategy,total_games,total_bets,total_wagered,net_profit,roi_percent
XGBoost (edge>0.05),177,146,1460.0,-698.393011112779,-47.83513774745062
always_home (naive),177,177,1770.0,-189.50654493593004,-10.706584459657066
kalshi_favorite,177,177,1770.0,95.60487103190123,5.401405143045267
Logistic Regression (edge>0.05),177,148,1480.0,-497.79884150542557,-33.6350568584747
Random Forest (edge>0.05),177,147,1470.0,-489.8123486774266,-33.3205679372399
