feature,importance
away_ROLLING_5_WIN,0.092960164
away_ROLLING_10_WIN,0.08728561
home_ROLLING_10_WIN,0.08654008
away_ROLLING_5_OFF_RATING,0.081463836
home_SPLIT_WIN_PCT,0.08004695
away_SPLIT_WIN_PCT,0.07932999
home_ROLLING_5_PACE,0.06551139
home_ROLLING_5_DEF_RATING,0.06541317
home_REST_DAYS,0.06333141
home_ROLLING_5_OFF_RATING,0.062458508
away_ROLLING_5_PACE,0.062077984
away_ROLLING_5_DEF_RATING,0.05994972
home_ROLLING_5_WIN,0.057916634
away_REST_DAYS,0.055714518
