threshold,total_games,total_bets,total_wagered,net_profit,roi_percent
0.0,177,177,1770.0,-699.459350410445,-39.51747742431893
0.02,177,164,1640.0,-675.68647410432,-41.20039476245854
0.05,177,146,1460.0,-698.393011112779,-47.83513774745062
0.08,177,132,1320.0,-627.8246164866063,-47.56247094595502
0.1,177,118,1180.0,-567.8246164866063,-48.12073021072935
0.15,177,91,910.0,-483.3690075355844,-53.11747335555872
